epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1483.37,0.77433,0.8217,0.39864,0.81341,0.83415,0.55664,0.62267,0.47873,0.83469,0.55537,0.62245,0.43216,0.70797,0.76601,0.37882,0.80824,0.000648026,0.000648026,0.000648026
31,1530.18,0.78011,0.82855,0.40351,0.81157,0.89359,0.52917,0.61076,0.47252,0.89314,0.52872,0.6104,0.42652,0.68466,0.72974,0.36943,0.805,0.000639027,0.000639027,0.000639027
32,1576.99,0.76832,0.814,0.39931,0.81043,0.88186,0.53628,0.61454,0.46413,0.8813,0.53571,0.61444,0.41406,0.70537,0.7798,0.37321,0.80703,0.000630028,0.000630028,0.000630028
33,1631.3,0.77642,0.82771,0.4046,0.81316,0.89262,0.52198,0.62586,0.47956,0.89205,0.52139,0.62623,0.43049,0.68674,0.73431,0.3768,0.80581,0.000621029,0.000621029,0.000621029
34,1678.08,0.77157,0.81974,0.40476,0.81223,0.67701,0.61543,0.64871,0.50109,0.67639,0.61479,0.64857,0.45194,0.67153,0.72291,0.36366,0.80477,0.00061203,0.00061203,0.00061203
35,1724.82,0.76895,0.80172,0.39935,0.81063,0.87722,0.54257,0.63838,0.49087,0.87665,0.542,0.63734,0.45122,0.67851,0.71557,0.36466,0.80508,0.000603031,0.000603031,0.000603031
36,1771.99,0.76558,0.80563,0.39425,0.81121,0.76627,0.60622,0.62671,0.48546,0.76579,0.60572,0.62663,0.44573,0.68786,0.73269,0.36192,0.80484,0.000594031,0.000594031,0.000594031
37,1818.63,0.7589,0.80142,0.3919,0.81192,0.63471,0.62525,0.64179,0.49761,0.63424,0.62477,0.64128,0.44962,0.67565,0.72001,0.35831,0.80395,0.000585032,0.000585032,0.000585032
38,1865.77,0.75336,0.79213,0.38836,0.80956,0.83106,0.5868,0.62955,0.48486,0.83053,0.58625,0.62924,0.43708,0.67584,0.72866,0.35751,0.8047,0.000576033,0.000576033,0.000576033
39,1912.63,0.75651,0.79859,0.38956,0.80995,0.88953,0.53382,0.64121,0.50265,0.8896,0.53318,0.64099,0.45032,0.68413,0.73065,0.36598,0.80487,0.000567034,0.000567034,0.000567034
40,1959.02,0.76214,0.80577,0.39503,0.81106,0.75131,0.5674,0.63049,0.48631,0.75082,0.5669,0.63029,0.43563,0.68524,0.72607,0.36086,0.80509,0.000558035,0.000558035,0.000558035
41,2005.86,0.75442,0.80089,0.39005,0.80996,0.91454,0.52636,0.63395,0.49088,0.91407,0.52589,0.63412,0.44282,0.67928,0.72079,0.35921,0.8048,0.000549036,0.000549036,0.000549036
42,2052.57,0.75826,0.80131,0.39125,0.80983,0.85864,0.57066,0.65046,0.50602,0.8582,0.57022,0.6504,0.46505,0.68038,0.71517,0.36364,0.80496,0.000540037,0.000540037,0.000540037
43,2099.51,0.75285,0.79085,0.38886,0.80929,0.76803,0.61574,0.65658,0.50822,0.76741,0.6151,0.65627,0.45989,0.66809,0.70872,0.35164,0.80376,0.000531038,0.000531038,0.000531038
44,2146.6,0.74554,0.79129,0.38341,0.80917,0.76734,0.60537,0.63576,0.4985,0.76675,0.60477,0.63554,0.4481,0.66733,0.70805,0.35795,0.80363,0.000522039,0.000522039,0.000522039
45,2193.51,0.74581,0.7878,0.3835,0.80921,0.78115,0.57553,0.65307,0.50475,0.78066,0.57504,0.65293,0.45572,0.67368,0.71789,0.3566,0.80463,0.00051304,0.00051304,0.00051304
46,2240.28,0.74405,0.78477,0.38444,0.80976,0.78301,0.60165,0.64336,0.50012,0.78245,0.60107,0.64308,0.45135,0.67658,0.71275,0.35704,0.80411,0.00050404,0.00050404,0.00050404
47,2287.43,0.74939,0.78798,0.38095,0.80987,0.80174,0.58159,0.64373,0.50049,0.80125,0.58109,0.64352,0.4572,0.6731,0.70855,0.35222,0.80375,0.000495041,0.000495041,0.000495041
48,2334.32,0.74814,0.78687,0.38108,0.80946,0.7431,0.60773,0.65564,0.50748,0.74348,0.60882,0.65616,0.46319,0.67527,0.70851,0.3539,0.80301,0.000486042,0.000486042,0.000486042
49,2381.19,0.7413,0.77435,0.37889,0.8078,0.86964,0.57577,0.6615,0.51709,0.86916,0.57529,0.66134,0.46857,0.66608,0.71041,0.34825,0.80317,0.000477043,0.000477043,0.000477043
50,2427.43,0.74187,0.78023,0.37641,0.80899,0.76241,0.62702,0.65836,0.50865,0.76192,0.62653,0.65804,0.46698,0.66921,0.70731,0.34918,0.80414,0.000468044,0.000468044,0.000468044
51,2473.85,0.73688,0.77376,0.37388,0.80855,0.88279,0.56147,0.65836,0.51497,0.88237,0.56104,0.65817,0.46781,0.67138,0.70906,0.35148,0.80326,0.000459045,0.000459045,0.000459045
52,2520.32,0.73118,0.76421,0.37405,0.80652,0.80629,0.63288,0.67726,0.53141,0.80578,0.63235,0.67699,0.4848,0.66595,0.70679,0.35059,0.80336,0.000450046,0.000450046,0.000450046
53,2566.66,0.74585,0.79427,0.37824,0.80813,0.56955,0.64219,0.66347,0.51099,0.56892,0.64154,0.6629,0.46488,0.67275,0.71747,0.35362,0.8036,0.000441047,0.000441047,0.000441047
