epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2219.48,0.82831,1.06488,0.44144,0.82509,0.85305,0.51155,0.58701,0.43854,0.85276,0.51126,0.58693,0.40205,0.74986,0.7786,0.38981,0.81056,0.000657025,0.000657025,0.000657025
30,2292.73,0.80811,1.04824,0.43745,0.82343,0.83163,0.55105,0.57968,0.4308,0.83116,0.55057,0.57957,0.39176,0.7641,0.78718,0.38438,0.81229,0.000648026,0.000648026,0.000648026
31,2362.42,0.81455,1.07682,0.43837,0.82428,0.78979,0.55053,0.56079,0.4207,0.7894,0.55013,0.56074,0.3859,0.74595,0.77208,0.38294,0.81072,0.000639027,0.000639027,0.000639027
32,2478.3,0.81419,1.06976,0.43628,0.82335,0.86247,0.54172,0.61555,0.46332,0.86204,0.54129,0.61592,0.43167,0.71485,0.75398,0.37676,0.80876,0.000630028,0.000630028,0.000630028
33,2541.82,0.80753,1.06578,0.43208,0.8239,0.87025,0.53259,0.59595,0.44027,0.86995,0.53228,0.59584,0.39874,0.76258,0.79974,0.38343,0.81245,0.000621029,0.000621029,0.000621029
34,2618.37,0.80117,1.04427,0.42586,0.82143,0.84515,0.55108,0.61067,0.45399,0.84461,0.55053,0.61049,0.4163,0.77605,0.81694,0.39274,0.81295,0.00061203,0.00061203,0.00061203
35,2686.4,0.81314,1.05957,0.43489,0.82388,0.82528,0.57082,0.58535,0.43988,0.82485,0.57038,0.58523,0.40302,0.73217,0.75322,0.38309,0.80946,0.000603031,0.000603031,0.000603031
36,2757.62,0.80484,1.04416,0.42915,0.82292,0.85291,0.55566,0.61919,0.46095,0.85244,0.55518,0.6189,0.43557,0.71486,0.75333,0.38082,0.80742,0.000594031,0.000594031,0.000594031
37,2830.56,0.80151,1.04339,0.4289,0.8213,0.85226,0.53254,0.61523,0.45444,0.85186,0.53214,0.61506,0.43041,0.75078,0.79363,0.38781,0.81046,0.000585032,0.000585032,0.000585032
38,2899.56,0.7946,1.02885,0.42492,0.82087,0.87394,0.5413,0.61671,0.46212,0.87343,0.54079,0.6165,0.42889,0.76905,0.79871,0.38129,0.81257,0.000576033,0.000576033,0.000576033
