epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.172,1.48593,1.8331,2.9871,1.02696,0.1108,0.17028,0.16162,0.12028,0.11081,0.17209,0.16144,0.09401,0.94909,0.95827,2.66533,0.86909,0.000298849,0.000298849,0.000298849
2,226.365,1.06305,1.06845,1.10377,0.85477,0.99629,0.16254,0.17623,0.13653,0.99606,0.16231,0.17586,0.11022,0.92076,0.86327,0.99785,0.83973,0.000595891,0.000595891,0.000595891
3,327.268,0.98261,1.01884,0.77939,0.84334,0.63015,0.44275,0.30425,0.2214,0.63035,0.44414,0.30335,0.1873,0.84149,0.85147,0.69401,0.82807,0.000886933,0.000886933,0.000886933
4,457.59,0.9273,0.97767,0.63708,0.83894,0.61383,0.52064,0.33175,0.24208,0.61352,0.52033,0.33126,0.20398,0.86249,0.93014,0.54761,0.8303,0.000882003,0.000882003,0.000882003
5,549.666,0.90733,0.95286,0.56077,0.83369,0.64192,0.48167,0.35172,0.25948,0.64238,0.48336,0.35229,0.22368,0.77859,0.85336,0.52195,0.82102,0.000873004,0.000873004,0.000873004
6,776.114,0.86751,0.93759,0.51441,0.82912,0.63987,0.50341,0.39221,0.28858,0.63858,0.49837,0.39102,0.24982,0.80657,0.81788,0.47435,0.8226,0.000864004,0.000864004,0.000864004
7,947.604,0.86906,0.92242,0.49943,0.82842,0.68388,0.45207,0.41928,0.30505,0.68315,0.45132,0.41858,0.26111,0.76411,0.78802,0.4451,0.81756,0.000855005,0.000855005,0.000855005
